Vsd (V) , I (mA)
0 , -25.5
0.2 , -4.5 
0.4 , -8.1
0.6 , -1.7
0.8 , 3.1
1.0 , 4.6
1.2 , 4.7
1.4 , 4.8
1.6 , 4.9
1.8 , 4.9
2.0 , 4.9
2.2 , 5.0
2.4 , 5.0
2.6 , 5.0
2.8 , 5.1
3.0 , 5.1
3.05 , 5.4
3.052 , 18.1
3.055 , 18.5
3.06 , 19.3
3.075 , 21.3
3.1 , 25.0
3.2 , 35.7
3.4 , 53.6
3.6 , 70.0
3.8 , 85.6
4.0 , 101
4.2 , 116
4.4 , 131
4.6 , 145
4.8 , 159
5.0 , 173
5.5 , 204
6.0 , 234
