Vgs (V) , Vout (V)
0 , 4.98
0.25 , 4.98
0.5 , 4.98
0.75 , 4.98
1.00 , 4.98
1.25 , 4.89
1.50 , 4.56
1.75 , 3.93
2.00 , 3.04
2.05 , 2.84
2.10 , 2.63
2.15 , 2.41
2.20 , 2.18
2.25 , 1.94
2.50 , 0.83
2.75 , 0.53
3.00 , 0.44
3.25 , 0.38
3.50 , 0.35
3.75 , 0.32
4.00 , 0.30
4.25 , 0.28
4.50 , 0.27
4.75 , 0.25
5.00 , 0.24
